,sigma1,sigma2
77,16.193727357929145,11.193105766379247
78,16.584518187059903,11.583936520844189
79,16.77192846959874,11.675502839428468
80,17.098696987838405,11.42545233552231
81,17.260559825962027,11.62715184985088
82,17.43789952451271,11.72805846714892
83,17.778152432396766,11.522894521510668
84,17.805794078475344,11.549556800202431
85,18.12903954179787,11.224096897328227
86,18.182286177915365,11.280679327359096
87,18.27899864181303,11.249606910459764
88,18.13722716015523,11.640390197814904
89,18.305599357198005,12.060063542983846
90,18.51755283484017,12.20027610233029
91,18.883347537016725,12.48446792793421
92,18.9090194047272,13.035662618941684
93,19.56006178507203,12.774348355075691
94,19.77346071846652,12.599411896723923
95,19.89216453455672,13.085537431392812
96,20.026665787047875,12.738151568161944
97,20.284806187396423,12.68663687539023
98,20.775073992453308,12.506783094908773
99,21.02091181100975,12.468449192322892
100,21.15624672127796,12.733388193697005
101,21.453245426686266,12.383160476246603
102,21.44618874063124,12.832242911867398
103,21.91096152898407,12.596937549124815
104,21.85416807734117,13.049624306377408
105,22.07884716062373,12.858828625459248
106,22.361747884622183,13.274878461641295
107,22.637709174347425,13.114042846436458
108,22.68654402991489,13.317345602579788
109,22.745260825779614,13.36621211050254
110,22.75991850290628,13.58213476676642
111,22.714054560569597,14.30745518770265
112,23.00969366359636,14.203950149194547
113,23.080160069856326,14.277948800764854
114,23.241831809811217,14.172308269501835
115,23.338114279360138,14.343116788456769
116,23.461645487304622,13.745456779792187
117,23.59186649874557,13.462473053798016
118,23.846704642067937,13.267333131979091
119,24.154088716090143,13.10567552847978
120,23.912846758534805,13.453138819523604
121,24.296317689904782,13.008132297804046
122,24.149953934740324,13.340866977617232
123,24.16378024860928,13.787986247099834
124,24.91593339035021,14.073825760323349
125,25.19879607615949,13.524947120641276
126,25.35975122221508,13.828908648084084
127,25.562036852791483,14.051535260476417
128,26.196697379971603,13.738591683502904
129,26.327045924718,14.233021554523985
130,26.813259365576812,14.431533674482012
131,26.824865142561087,14.401043319873695
132,26.958036746376287,14.158805126856494
133,27.72199286033254,13.975355151650842
134,27.62380216442939,14.093830394875644
135,27.57885968670872,14.11392827206246
136,27.63873773785359,14.107917354302748
137,27.60053695993846,14.100155911575891
138,27.608351811258565,14.121598990294745
139,27.623658985527968,14.114014899700624
140,27.62607826148241,14.118985300939698
141,27.62199638745721,14.145162121123963
142,27.600805892355982,14.131823939449536
143,27.630894985848627,14.0862226658126
144,27.578649528253266,14.126020204238491
145,27.5759813244145,14.13798734375975
146,27.62880635993589,14.126396490742422
147,27.60040476334103,14.127647827454084
148,27.64033086991301,14.109710527945367
149,27.6102468925003,14.117259947276809
150,27.625845573394283,14.134694002502048
151,27.615083676323533,14.14536455438708
152,27.62806693453574,14.096137563170569
153,27.569986192384885,14.107813147213664
154,27.63333293691971,14.11707398965622
155,27.60076273956877,14.12911192954089
156,27.540980912485654,14.121242333934584
157,27.630843622701,14.138352690742844
158,27.62341282486857,14.132740170931864
159,27.63985822459087,14.101887911077728
160,27.582881635561503,14.105621985848597
161,27.63086471162332,14.116305828898868
162,27.64555271206974,14.144564964033451
163,27.591999580138225,14.136014712644092
164,27.61353308385684,14.08529822448916
165,27.581928288776943,14.095589276841617
166,27.63019355310372,14.11540604940032
167,27.54487533886992,14.12193093691844
168,27.59516785911864,14.10757960813833
169,27.63092453111573,14.124797489279976
170,27.60623720060238,14.121826315291433
171,27.58682688095002,14.128484629560829
172,27.60855373695059,14.122540796047405
173,27.61604764965441,14.127246654665464
174,27.60653670969835,14.109968315441948
175,27.59381075111341,14.101356005342064
176,27.63366952330544,14.13207903598832
177,27.616856344950268,14.134680691070503
178,27.54338252174831,14.092854685400654
179,27.60013035444079,14.10363852519279
180,27.626506225354458,14.155865106647076
181,27.66362034570037,14.101237303496326
182,27.57151867619445,14.102024090479524
183,27.630420675609965,14.118648862026518
184,27.591118316111807,14.0981447246016
185,27.64485984680935,14.126365014723875
186,27.639421539453014,14.102904100567375
187,27.612365424409862,14.127484091337916
188,27.632718191834048,14.134469430052569
189,27.596265083316936,14.120039053922197
190,27.55657517046963,14.085876599001155
191,27.555053788122613,14.134516656289213
192,27.601596574660206,14.127161605723444
193,27.62929535486609,14.137473575012493
194,27.613569731789504,14.110659168113978
195,27.634673739900105,14.11492572018206
196,27.556859412636665,14.09988010542342
197,27.667026681227718,14.109820220226856
198,27.54978620803589,14.131102620417847
199,27.58673412813252,14.115379304112055
200,27.577639005456778,14.143544240374878
201,27.546320993205303,14.123687269133008
202,27.62917357318256,14.142057932489116
203,27.566774614850317,14.101952219862586
204,27.6180793132089,14.147842264074187
205,27.67347189185609,14.097679801328104
206,27.63149321405023,14.140404195554806
207,27.646261513974167,14.113261911783336
208,27.590747818663704,14.120157912101014
209,27.63162233654989,14.103491677206092
210,27.625516615187024,14.110505272705048
211,27.60563180201339,14.126033848423084
