,sigma1,sigma2
202,27.62917357,14.14205793
203,27.56677461,14.10195222
204,27.61807931,14.14784226
205,27.67347189,14.0976798
206,27.63149321,14.1404042
207,27.64626151,14.11326191
208,27.59074782,14.12015791
209,27.63162234,14.10349168
210,27.62551662,14.11050527
211,27.6056318,14.12603385
